Antibiotic.Mnemonic_MMB;Antibiotic.Mnemonic;Microorganism.Mnemonic;ForAgarDiffusion;LowPivotValue;HighPivotValue;ExcludeLowPivot;ExcludeHighPivot;EligibleFunction.Description
5FC;5-FLUCYT;Micro-organisme;no;4;32;no;yes;groep 390
5FC;5-FLUCYT;Micro-organisme;no;4;32;no;yes;groep 400
5FC;5-FLUCYT;Micro-organisme;no;4;32;no;yes;groep 400.01
5FC;5-FLUCYT;Micro-organisme;no;4;32;no;yes;groep 400.02
5FC;5-FLUCYT;Micro-organisme;no;4;32;no;yes;groep 400.03
5FC;5-FLUCYT;Micro-organisme;no;4;32;no;yes;groep 400.04
5FC;5-FLUCYT;Micro-organisme;no;4;32;no;yes;groep 400.05
5FC;5-FLUCYT;Micro-organisme;no;4;32;no;yes;groep 400.06
5FC;5-FLUCYT;Micro-organisme;no;4;32;no;yes;groep 400.07
5FC;5-FLUCYT;Micro-organisme;no;4;32;no;yes;groep 410
AMI;AMIKA;Micro-organisme;no;.001;.001;no;yes;groep 10.24
AMI;AMIKA;Micro-organisme;no;.001;.001;no;yes;groep 10.25
AMI;AMIKA;Micro-organisme;no;.001;.001;no;yes;groep 30
AMI;AMIKA;Micro-organisme;no;.001;.001;no;yes;groep 60
AMI;AMIKA;Micro-organisme;no;1;1;no;yes;groep 380
AMI;AMIKA;Micro-organisme;no;16;16;no;yes;groep 20
AMI;AMIKA;Micro-organisme;no;16;16;no;yes;groep 20.01
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.01
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.02
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.03
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.04
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.05
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.06
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.07
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.08
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.09
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.10
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.11
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.12
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.13
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.14
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.15
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.16
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.17
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.18
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.19
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.20
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.21
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.22
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.23
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.26
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 10.27
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 130
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 130.02
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 130.03
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 130.04
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 130.05
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 130.06
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 130.07
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 130.08
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 130.09
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 131
AMI;AMIKA;Micro-organisme;no;8;8;no;yes;groep 40
AMI;AMIKA;Micro-organisme;yes;15;15;yes;no;groep 20
AMI;AMIKA;Micro-organisme;yes;15;15;yes;no;groep 20.01
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.01
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.02
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.03
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.04
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.05
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.06
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.07
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.08
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.09
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.10
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.11
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.12
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.13
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.14
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.15
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.16
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.17
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.18
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.19
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.20
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.21
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.22
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.23
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.26
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 10.27
AMI;AMIKA;Micro-organisme;yes;18;18;yes;no;groep 131
AMI;AMIKA;Micro-organisme;yes;19;19;yes;no;groep 40
AMI;AMIKA;Micro-organisme;yes;22;22;yes;no;groep 130
AMI;AMIKA;Micro-organisme;yes;22;22;yes;no;groep 130.02
AMI;AMIKA;Micro-organisme;yes;22;22;yes;no;groep 130.03
AMI;AMIKA;Micro-organisme;yes;22;22;yes;no;groep 130.04
AMI;AMIKA;Micro-organisme;yes;22;22;yes;no;groep 130.05
AMI;AMIKA;Micro-organisme;yes;22;22;yes;no;groep 130.06
AMI;AMIKA;Micro-organisme;yes;22;22;yes;no;groep 130.07
AMI;AMIKA;Micro-organisme;yes;22;22;yes;no;groep 130.08
AMI;AMIKA;Micro-organisme;yes;22;22;yes;no;groep 130.09
AMI;AMIKA;Micro-organisme;yes;9999;9999;yes;no;groep 10.24
AMI;AMIKA;Micro-organisme;yes;9999;9999;yes;no;groep 10.25
AMI;AMIKA;Micro-organisme;yes;9999;9999;yes;no;groep 30
AMI;AMIKA;Micro-organisme;yes;9999;9999;yes;no;groep 60
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 10.02
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 10.03
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 10.06
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 10.07
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 10.08
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 10.09
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 10.10
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 10.11
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 10.14
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 10.15
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 10.17
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 10.18
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 10.20
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 10.22
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 20.01
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 260
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 30
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 350.01
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 350.02
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 40
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 60
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 70
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 80
AMO;AMOXI;Micro-organisme;no;.125;.125;no;yes;groep 340
AMO;AMOXI;Micro-organisme;no;.125;1;no;yes;groep 110.02
AMO;AMOXI;Micro-organisme;no;.5;2;no;yes;groep 170
AMO;AMOXI;Micro-organisme;no;.5;2;no;yes;groep 300
AMO;AMOXI;Micro-organisme;no;.5;2;no;yes;groep 300.01
AMO;AMOXI;Micro-organisme;no;1;1;no;yes;groep 320
AMO;AMOXI;Micro-organisme;no;2;2;no;yes;groep 90
AMO;AMOXI;Micro-organisme;no;2;8;no;yes;groep 380
AMO;AMOXI;Micro-organisme;no;4;8;no;yes;groep 140
AMO;AMOXI;Micro-organisme;no;4;8;no;yes;groep 140.01
AMO;AMOXI;Micro-organisme;no;4;8;no;yes;groep 140.02
AMO;AMOXI;Micro-organisme;no;4;8;no;yes;groep 140.03
AMO;AMOXI;Micro-organisme;no;4;8;no;yes;groep 240
AMO;AMOXI;Micro-organisme;no;4;8;no;yes;groep 240.01
AMO;AMOXI;Micro-organisme;no;4;8;no;yes;groep 240.02
AMO;AMOXI;Micro-organisme;no;4;8;no;yes;groep 240.03
AMO;AMOXI;Micro-organisme;no;8;8;no;yes;groep 10
AMO;AMOXI;Micro-organisme;no;8;8;no;yes;groep 10.01
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 10.04
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 10.05
AMO;AMOXI;Micro-organisme;no;8;8;no;yes;groep 10.12
AMO;AMOXI;Micro-organisme;no;8;8;no;yes;groep 10.13
AMO;AMOXI;Micro-organisme;no;8;8;no;yes;groep 10.16
AMO;AMOXI;Micro-organisme;no;.001;.001;no;yes;groep 10.19
AMO;AMOXI;Micro-organisme;no;8;8;no;yes;groep 10.21
AMO;AMOXI;Micro-organisme;no;8;8;no;yes;groep 10.23
AMO;AMOXI;Micro-organisme;no;8;8;no;yes;groep 10.24
AMO;AMOXI;Micro-organisme;no;8;8;no;yes;groep 10.25
AMO;AMOXI;Micro-organisme;no;8;8;no;yes;groep 10.26
AMO;AMOXI;Micro-organisme;no;8;8;no;yes;groep 10.27
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 10.02
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 10.03
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 10.06
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 10.07
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 10.08
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 10.09
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 10.10
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 10.11
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 10.14
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 10.15
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 10.17
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 10.18
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 10.20
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 10.22
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 20.01
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 260
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 30
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 350.01
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 350.02
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 40
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 60
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 70
AMO;AMOXI;Micro-organisme;yes;9999;9999;yes;no;groep 80
AMB;AMPHO-B;Micro-organisme;no;.001;.001;no;yes;groep 420.01
AMB;AMPHO-B;Micro-organisme;no;.001;.001;no;yes;groep 420.03
AMB;AMPHO-B;Micro-organisme;no;.001;.001;no;yes;groep 420.05
AMB;AMPHO-B;Micro-organisme;no;1;1;no;yes;groep 400
AMB;AMPHO-B;Micro-organisme;no;1;1;no;yes;groep 400.01
AMB;AMPHO-B;Micro-organisme;no;1;1;no;yes;groep 400.02
AMB;AMPHO-B;Micro-organisme;no;1;1;no;yes;groep 400.03
AMB;AMPHO-B;Micro-organisme;no;1;1;no;yes;groep 400.04
AMB;AMPHO-B;Micro-organisme;no;1;1;no;yes;groep 400.05
AMB;AMPHO-B;Micro-organisme;no;1;1;no;yes;groep 400.06
AMB;AMPHO-B;Micro-organisme;no;1;1;no;yes;groep 400.07
AMB;AMPHO-B;Micro-organisme;no;1;1;no;yes;groep 410
AMB;AMPHO-B;Micro-organisme;no;1;1;no;yes;groep 420.02
AMB;AMPHO-B;Micro-organisme;no;1;1;no;yes;groep 420.04
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 10.02
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 10.03
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 10.04
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 10.05
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 10.06
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 10.07
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 10.08
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 10.09
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 10.10
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 10.11
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 10.14
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 10.15
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 10.17
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 10.18
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 10.19
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 10.20
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 10.22
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 20.01
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 260
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 30
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 350.01
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 350.02
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 40
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 60
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 70
AMP;AMPI;Micro-organisme;no;.001;.001;no;yes;groep 80
AMP;AMPI;Micro-organisme;no;.064;.064;no;yes;groep 340
AMP;AMPI;Micro-organisme;no;.125;1;no;yes;groep 110.02
AMP;AMPI;Micro-organisme;no;.25;.25;no;yes;groep 330
AMP;AMPI;Micro-organisme;no;.5;2;no;yes;groep 160
AMP;AMPI;Micro-organisme;no;.5;2;no;yes;groep 170
AMP;AMPI;Micro-organisme;no;.5;2;no;yes;groep 300
AMP;AMPI;Micro-organisme;no;.5;2;no;yes;groep 300.01
AMP;AMPI;Micro-organisme;no;1;1;no;yes;groep 190
AMP;AMPI;Micro-organisme;no;1;1;no;yes;groep 320
AMP;AMPI;Micro-organisme;no;1;1;no;yes;groep 90
AMP;AMPI;Micro-organisme;no;1;2;no;yes;groep 460
AMP;AMPI;Micro-organisme;no;2;8;no;yes;groep 110
AMP;AMPI;Micro-organisme;no;2;8;no;yes;groep 380
AMP;AMPI;Micro-organisme;no;4;8;no;yes;groep 140
AMP;AMPI;Micro-organisme;no;4;8;no;yes;groep 140.01
AMP;AMPI;Micro-organisme;no;4;8;no;yes;groep 140.02
AMP;AMPI;Micro-organisme;no;4;8;no;yes;groep 140.03
AMP;AMPI;Micro-organisme;no;4;8;no;yes;groep 240
AMP;AMPI;Micro-organisme;no;4;8;no;yes;groep 240.01
AMP;AMPI;Micro-organisme;no;4;8;no;yes;groep 240.02
AMP;AMPI;Micro-organisme;no;4;8;no;yes;groep 240.03
AMP;AMPI;Micro-organisme;no;8;16;no;yes;groep 480
AMP;AMPI;Micro-organisme;no;8;8;no;yes;groep 10
AMP;AMPI;Micro-organisme;no;8;8;no;yes;groep 10.01
AMP;AMPI;Micro-organisme;no;8;8;no;yes;groep 10.12
AMP;AMPI;Micro-organisme;no;8;8;no;yes;groep 10.13
AMP;AMPI;Micro-organisme;no;8;8;no;yes;groep 10.16
AMP;AMPI;Micro-organisme;no;8;8;no;yes;groep 10.21
AMP;AMPI;Micro-organisme;no;8;8;no;yes;groep 10.23
AMP;AMPI;Micro-organisme;no;8;8;no;yes;groep 10.24
AMP;AMPI;Micro-organisme;no;8;8;no;yes;groep 10.25
AMP;AMPI;Micro-organisme;no;8;8;no;yes;groep 10.26
AMP;AMPI;Micro-organisme;no;8;8;no;yes;groep 10.27
AMP;AMPI;Micro-organisme;yes;14;14;yes;no;groep 10
AMP;AMPI;Micro-organisme;yes;14;14;yes;no;groep 10.01
AMP;AMPI;Micro-organisme;yes;14;14;yes;no;groep 10.12
AMP;AMPI;Micro-organisme;yes;14;14;yes;no;groep 10.13
AMP;AMPI;Micro-organisme;yes;14;14;yes;no;groep 10.16
AMP;AMPI;Micro-organisme;yes;14;14;yes;no;groep 10.21
AMP;AMPI;Micro-organisme;yes;14;14;yes;no;groep 10.23
AMP;AMPI;Micro-organisme;yes;14;14;yes;no;groep 10.24
AMP;AMPI;Micro-organisme;yes;14;14;yes;no;groep 10.25
AMP;AMPI;Micro-organisme;yes;14;14;yes;no;groep 10.26
AMP;AMPI;Micro-organisme;yes;14;14;yes;no;groep 10.27
AMP;AMPI;Micro-organisme;yes;15;21;yes;no;groep 170
AMP;AMPI;Micro-organisme;yes;16;16;yes;no;groep 190
AMP;AMPI;Micro-organisme;yes;16;22;yes;no;groep 160
AMP;AMPI;Micro-organisme;yes;18;18;yes;no;groep 130.04
AMP;AMPI;Micro-organisme;yes;18;18;yes;no;groep 90
AMP;AMPI;Micro-organisme;yes;26;26;yes;no;groep 330
AMP;AMPI;Micro-organisme;yes;8;10;yes;no;groep 140
AMP;AMPI;Micro-organisme;yes;8;10;yes;no;groep 140.01
