"Name","Strain","L-code","Snomed-CT","Mnemonic"
"03-427","03-427",,,"X"
"03-427","03-427",,,"X"
"03-427","03-427",,,"X"
"05_1","05_1",,,"X"
"05_2","05_2",,,"X"
"1","1",,,"X"
"1","1",,,"X"
"1","1",,,"X"
"10","10",,,"X"
"10","10",,,"X"
"100","100",,,"X"
"11","11",,,"X"
"11-50007302","11-50007302",,,"X"
"12","12",,,"X"
"12","12",,,"X"
"12","12",,,"X"
"12","12",,,"X"
"13","13",,,"X"
"1458","1458",,,"X"
"1459","1459",,,"X"
"1471","1471",,,"X"
"1485","1485",,,"X"
"1485E","1485E",,,"X"
"1486","1486",,,"X"
"1487","1487",,,"X"
"15","15",,,"X"
"15","15",,,"X"
"15","15",,,"X"
"1512","1512",,,"X"
"1514","1514",,,"X"
"1525","1525",,,"X"
"1529","1529",,,"X"
"1547","1547",,,"X"
"16","16",,,"X"
"16","16",,,"X"
"16","16",,,"X"
"16","16",,,"X"
"17","17",,,"X"
"18","18",,,"X"
"18","18",,,"X"
"19","19",,,"X"
"19","19",,,"X"
"2","2",,,"X"
"2","2",,,"X"
"20","20",,,"X"
"20","20",,,"X"
"201_2","201_2",,,"X"
"203_1","203_1",,,"X"
"204_2","204_2",,,"X"
"21-561722","21-561722",,,"X"
"22-504660.04","22-504660.04",,,"X"
"23","23",,,"X"
"24","24",,,"X"
"24","24",,,"X"
"2463D","2463D",,,"X"
"27","27",,,"X"
"27","27",,,"X"
"28","28",,,"X"
"29","29",,,"X"
"3","3",,,"X"
"3","3",,,"X"
"30","30",,,"X"
"31","31",,,"X"
"32","32",,,"X"
"34","34",,,"X"
"35","35",,,"X"
"36","36",,,"X"
"37","37",,,"X"
"37","37",,,"X"
"38","38",,,"X"
"4","4",,,"X"
"40","40",,,"X"
"44","44",,,"X"
"45","45",,,"X"
"5","5",,,"X"
"52","52",,,"X"
"53","53",,,"X"
"54","54",,,"X"
"59","59",,,"X"
"6","6",,,"X"
"6","6",,,"X"
"60","60",,,"X"
"61","61",,,"X"
"62","62",,,"X"
"8","8",,,"X"
"8","8",,,"X"
"8","8",,,"X"
"8","8",,,"X"
"82-40","82-40",,,"X"
"82-40","82-40",,,"X"
"84-112","84-112",,,"X"
"84-112","84-112",,,"X"
"84-48","84-48",,,"X"
"84-48","84-48",,,"X"
"9","9",,,"X"
"9","9",,,"X"
"97-204_NH","97-204_NH",,,"X"
"97-204_SH","97-204_SH",,,"X"
"97-306_Na","97-306_Na",,,"X"
"97-306_SA","97-306_SA",,,"X"
"A1813","A1813",,,"X"
"A1813","A1813",,,"X"
"A847","A847",,,"X"
"Abiotrophia defectiva","Abiotrophia defectiva 42_A241 MHH","L-18D02","113714003","Abiotadef"
"Abiotrophia defectiva","Abiotrophia defectiva 42_A241 MHH","L-18D02","113714003","Abiotadef"
"Abiotrophia defectiva","Abiotrophia defectiva CCUG 27807 CCUG","L-18D02","113714003","Abiotadef"
"Abiotrophia defectiva","Abiotrophia defectiva CCUG 27807 CCUG","L-18D02","113714003","Abiotadef"
"Abiotrophia defectiva","Abiotrophia defectiva CCUG 38830 CCUG","L-18D02","113714003","Abiotadef"
"Abiotrophia defectiva","Abiotrophia defectiva CCUG 38830 CCUG","L-18D02","113714003","Abiotadef"
"Abiotrophia defectiva","Abiotrophia defectiva CCUG 47112 CCUG","L-18D02","113714003","Abiotadef"
"Abiotrophia defectiva","Abiotrophia defectiva CCUG 47112 CCUG","L-18D02","113714003","Abiotadef"
"Abiotrophia defectiva","Abiotrophia defectiva CCUG 59700 CCUG","L-18D02","113714003","Abiotadef"
"Abiotrophia defectiva","Abiotrophia defectiva CCUG 59700 CCUG","L-18D02","113714003","Abiotadef"
"Abiotrophia defectiva","Abiotrophia defectiva DSM 9849T DSM","L-18D02","113714003","Abiotadef"
"Abiotrophia defectiva","Abiotrophia defectiva DSM 9849T DSM","L-18D02","113714003","Abiotadef"
"Abiotrophia defectiva","Abiotrophia defectiva LMG 19522 LMG","L-18D02","113714003","Abiotadef"
"Abiotrophia defectiva","Abiotrophia defectiva LMG 19522 LMG","L-18D02","113714003","Abiotadef"
"Abiotrophia defectiva","Abiotrophia defectiva LMG 19523 LMG","L-18D02","113714003","Abiotadef"
"Abiotrophia defectiva","Abiotrophia defectiva LMG 19523 LMG","L-18D02","113714003","Abiotadef"
"Abiotrophia defectiva","Abiotrophia defectiva SR002 IBS","L-18D02","113714003","Abiotadef"
"Abiotrophia defectiva","Abiotrophia defectiva SR002 IBS","L-18D02","113714003","Abiotadef"
"Absidia caerulea","Absidia caerulea DSM 3018NT DSM",,,"Absidacae"
"Zygosaccharomyces florentinus","Zygosaccharomyces florentinus DSM 70506T DSM",,"4321000146101","Zygotaflo"
"Weisella spp","Weisella spp UMCU 13-612040",,"118293006","Weissaspe"
"Acaulium acremonium","Acaulium acremonium DSM 1987 DSM",,,"Acaulmacr"
"Acetobacter aceti","Acetobacter aceti B212 UFL","L-2F167","396950003","Acetorace"
"Acetobacter aceti","Acetobacter aceti B212 UFL","L-2F167","396950003","Acetorace"
"Acetobacter aceti","Acetobacter aceti B213 UFL","L-2F167","396950003","Acetorace"
"Acetobacter aceti","Acetobacter aceti B213 UFL","L-2F167","396950003","Acetorace"
"Acetobacter aceti","Acetobacter aceti DSM 2002 DSM","L-2F167","396950003","Acetorace"
"Acetobacter aceti","Acetobacter aceti DSM 2002 DSM","L-2F167","396950003","Acetorace"
"Acetobacter cerevisiae","Acetobacter cerevisiae B209 UFL",,"413399008","Acetorcer"
"Acetobacter cerevisiae","Acetobacter cerevisiae B210T UFL",,"413399008","Acetorcer"
"Acetobacter cerevisiae","Acetobacter cerevisiae B210T UFL_2",,"413399008","Acetorcer"
"Acetobacter cerevisiae","Acetobacter cerevisiae B219 UFL",,"413399008","Acetorcer"
"Acetobacter cerevisiae","Acetobacter cerevisiae B219 UFL_2",,"413399008","Acetorcer"
"Acetobacter cerevisiae","Acetobacter cerevisiae B546 UFL",,"413399008","Acetorcer"
"Acetobacter cerevisiae","Acetobacter cerevisiae B546 UFL_2",,"413399008","Acetorcer"
"Acetobacter cerevisiae","Acetobacter cerevisiae DSM 14362T DSM",,"413399008","Acetorcer"
"Acetobacter cerevisiae","Acetobacter cerevisiae DSM 2324 DSM",,"413399008","Acetorcer"
"Veillonella sp[3]","Veillonella sp[3] 0807M16032801 IBS",,"29875005","Veillaspe"
"Zygomycete (mcr","Zygomycete (mcr Syncephalastrum) AL161 NIH",,"62678005","Syncemspe"
"Staphylococcus epidermis","Staphylococcus epidermis",,"60875001","Staphsepi"
"Staphylococcus epidermis","Staphylococcus epidermis - 8",,"60875001","Staphsepi"
"Acetobacter pasteurianus","Acetobacter pasteurianus B208 UFL","L-2F169","396952006","Acetorpas"
"Acetobacter pasteurianus","Acetobacter pasteurianus B208 UFL","L-2F169","396952006","Acetorpas"
"Acetobacter pasteurianus","Acetobacter pasteurianus B208 UFL_2","L-2F169","396952006","Acetorpas"
"Acetobacter pasteurianus","Acetobacter pasteurianus B208 UFL_2","L-2F169","396952006","Acetorpas"
"Acetobacter pasteurianus","Acetobacter pasteurianus B214 UFL_2","L-2F169","396952006","Acetorpas"
"Acetobacter pasteurianus","Acetobacter pasteurianus B214 UFL_2","L-2F169","396952006","Acetorpas"
"Acetobacter pasteurianus","Acetobacter pasteurianus ssp pasteurianus B214 UFL","L-2F169","396952006","Acetorpas"
"Acetobacter pasteurianus","Acetobacter pasteurianus ssp pasteurianus B214 UFL","L-2F169","396952006","Acetorpas"
"Acetobacter persici","Acetobacter persici B218_UFL",,"708522006","Acetorper"
"Acholeplasma laidlawii","Acholeplasma laidlawii FLR","L-10201","89082003","Acholalai"
"Acholeplasma laidlawii","Acholeplasma laidlawii FLR","L-10201","89082003","Acholalai"
"Achromobacter denitrificans","Achromobacter denitrificans DSM 11850 DSM","L-10304","413414001","Achrorden"
"Achromobacter denitrificans","Achromobacter denitrificans DSM 11850 DSM","L-10304","413414001","Achrorden"
"Achromobacter denitrificans","Achromobacter denitrificans DSM 30026T DSM","L-10304","413414001","Achrorden"
"Achromobacter denitrificans","Achromobacter denitrificans DSM 30026T DSM","L-10304","413414001","Achrorden"
"Achromobacter denitrificans","Achromobacter denitrificans DSM 4612 DSM","L-10304","413414001","Achrorden"
"Achromobacter denitrificans","Achromobacter denitrificans DSM 4612 DSM","L-10304","413414001","Achrorden"
"Achromobacter insolitus","Achromobacter insolitus DSM 23807T DSM","L-10307","413417008","Achrorins"
"Achromobacter insolitus","Achromobacter insolitus DSM 23807T DSM","L-10307","413417008","Achrorins"
"Achromobacter insolitus","Achromobacter insolitus LMG 6003T HAM","L-10307","413417008","Achrorins"
"Achromobacter insolitus","Achromobacter insolitus LMG 6003T HAM","L-10307","413417008","Achrorins"
"Achromobacter mucicolens","Achromobacter mucicolens 17_562268 UMCU",,,"Achrormuc"
"Achromobacter mucicolens","Achromobacter mucicolens UNK_10 SOMB",,,"Achrormuc"
"Achromobacter piechaudii","Achromobacter piechaudii DSM 10342T DSM","L-1030B","413420000","Achrorpie"
"Achromobacter piechaudii","Achromobacter piechaudii DSM 10342T DSM","L-1030B","413420000","Achrorpie"
"Achromobacter piechaudii","Achromobacter piechaudii DSM 11386 DSM","L-1030B","413420000","Achrorpie"
"Achromobacter piechaudii","Achromobacter piechaudii DSM 11386 DSM","L-1030B","413420000","Achrorpie"
"Achromobacter ruhlandii","Achromobacter ruhlandii DSM 653T DSM","L-1030C","413421001","Achrorruh"
"Achromobacter ruhlandii","Achromobacter ruhlandii DSM 653T DSM","L-1030C","413421001","Achrorruh"
