"naam"	"naam_clean"
"1"	"1"
"2"	"2"
"3"	"3"
"4"	"4"
"5"	"5"
"6"	"6"
"8"	"8"
"9"	"9"
"10"	"10"
"11"	"11"
"12"	"12"
"13"	"13"
"15"	"15"
"16"	"16"
"17"	"17"
"18"	"18"
"19"	"19"
"20"	"20"
"23"	"23"
"24"	"24"
"27"	"27"
"28"	"28"
"29"	"29"
"30"	"30"
"31"	"31"
"32"	"32"
"34"	"34"
"35"	"35"
"36"	"36"
"37"	"37"
"38"	"38"
"40"	"40"
"44"	"44"
"45"	"45"
"52"	"52"
"53"	"53"
"54"	"54"
"59"	"59"
"60"	"60"
"61"	"61"
"62"	"62"
"100"	"100"
"1458"	"1458"
"1459"	"1459"
"1471"	"1471"
"1485"	"1485"
"1486"	"1486"
"1487"	"1487"
"1512"	"1512"
"1514"	"1514"
"1525"	"1525"
"1529"	"1529"
"1547"	"1547"
"03-427"	"03-427"
"05_1"	"05_1"
"05_2"	"05_2"
"11-50007302"	"11-50007302"
"1485E"	"1485E"
"201_2"	"201_2"
"203_1"	"203_1"
"204_2"	"204_2"
"21-561722"	"21-561722"
"22-504660.04"	"22-504660.04"
"2463D"	"2463D"
"82-40"	"82-40"
"84-112"	"84-112"
"84-48"	"84-48"
"97-204_NH"	"97-204_NH"
"97-204_SH"	"97-204_SH"
"97-306_Na"	"97-306_Na"
"97-306_SA"	"97-306_SA"
"A1813"	"A1813"
"A847"	"A847"
"Abiotrophia defectiva"	"Abiotrophia defectiva"
"Absidia caerulea"	"Absidia caerulea"
"Absidia glauca"	"Absidia glauca"
"Acaulium acremonium"	"Acaulium acremonium"
"Acetobacter aceti"	"Acetobacter aceti"
"Acetobacter cerevisiae"	"Acetobacter cerevisiae"
"Acetobacter indonesiensis"	"Acetobacter indonesiensis"
"Acetobacter malorum"	"Acetobacter malorum"
"Acetobacter pasteurianus"	"Acetobacter pasteurianus"
"Acetobacter persici"	"Acetobacter persici"
"Acholeplasma laidlawii"	"Acholeplasma laidlawii"
"Achromobacter denitrificans"	"Achromobacter denitrificans"
"Achromobacter insolitus"	"Achromobacter insolitus"
"Achromobacter mucicolens"	"Achromobacter mucicolens"
"Achromobacter piechaudii"	"Achromobacter piechaudii"
"Achromobacter ruhlandii"	"Achromobacter ruhlandii"
"Achromobacter sp"	"Achromobacter sp"
"Achromobacter sp[3]"	"Achromobacter sp"
"Achromobacter spanius"	"Achromobacter spanius"
"Achromobacter xylosoxidans"	"Achromobacter xylosoxidans"
"Acidaminococcus fermentans"	"Acidaminococcus fermentans"
"Acidaminococcus intestini"	"Acidaminococcus intestini"
"Acidiphilium acidophilum"	"Acidiphilium acidophilum"
"Acidipropionibacterium acidipropionici"	"Acidipropionibacterium acidipropionici"
"Acidipropionibacterium jensenii"	"Acidipropionibacterium jensenii"
"Acidipropionibacterium microaerophilum"	"Acidipropionibacterium microaerophilum"
"Acidipropionibacterium thoenii"	"Acidipropionibacterium thoenii"
"Acidovorax avenae"	"Acidovorax avenae"
"Acidovorax defluvii"	"Acidovorax defluvii"
"Acidovorax delafieldii"	"Acidovorax delafieldii"
"Acidovorax facilis"	"Acidovorax facilis"
"Acidovorax konjaci"	"Acidovorax konjaci"
"Acidovorax temperans"	"Acidovorax temperans"
"Acidovorax wautersii"	"Acidovorax wautersii"
"Acidovorax wautserii"	"Acidovorax wautserii"
"Acinetobacter baumannii"	"Acinetobacter baumannii"
"Acinetobacter baylyi"	"Acinetobacter baylyi"
"Acinetobacter beijerinckii"	"Acinetobacter beijerinckii"
"Acinetobacter bereziniae"	"Acinetobacter bereziniae"
"Acinetobacter bohemicus"	"Acinetobacter bohemicus"
"Acinetobacter bouvetii"	"Acinetobacter bouvetii"
"Acinetobacter brisouii"	"Acinetobacter brisouii"
"Acinetobacter calcoaceticus"	"Acinetobacter calcoaceticus"
"Acinetobacter courvalinii"	"Acinetobacter courvalinii"
"Acinetobacter dijkshoorniae"	"Acinetobacter dijkshoorniae"
"Acinetobacter dispersus"	"Acinetobacter dispersus"
"Acinetobacter gerneri"	"Acinetobacter gerneri"
"Acinetobacter guillouiae"	"Acinetobacter guillouiae"
"Acinetobacter haemolyticus"	"Acinetobacter haemolyticus"
"Acinetobacter harbinensis"	"Acinetobacter harbinensis"
"Acinetobacter indicus"	"Acinetobacter indicus"
"Acinetobacter johnsonii"	"Acinetobacter johnsonii"
"Acinetobacter junii"	"Acinetobacter junii"
"Acinetobacter kookii"	"Acinetobacter kookii"
