recordid,Mnemonic0,genus_name,sp_epithet,subsp_epithet,virotax,ncbi,mycobankno,record_no,Mnemonic,Name,Type,Description:NL,Aerobe,ShortName,Parent.mnemonic,AntibiogramProperty.Mnemonic,AutoReportable,AutoAntibiogram,BillingMark,ReportOfficially,Disabled,IsGroup,~EUCAST_group,Breekpunt group name,~Mnemonic95,SNOMED_CT
,.Aerocssp?,NULL,NULL,NULL,,,,,.aerocssp?,"Gram-positieve coc, mogelijk Aerococcus species",Germ,"Gram-positieve coc, mogelijk Aerococcus species",yes,"Gram-positieve coc, mogelijk Aerococcus species",Procedure,Antibiogram,No,no,1,no,no,no,,,,
,.Aureus_thym?,NULL,NULL,NULL,,,,,.aureus_thym?,"Gram-positieve coc, mogelijk thymidine afhankelijke S. aureus",Germ,"Gram-positieve coc, mogelijk thymidine afhankelijke S.aureus",yes,"Gram-positieve coc, mogelijk thymidine afhankelijke S. aureus",Procedure,Antibiogram,No,no,1,no,no,no,,,,
,.Aureus?,NULL,NULL,NULL,,,,,.aureus?,"Gram-positieve coc, mogelijk Staphylococcus aureus",Germ,"Gram-positieve coc, mogelijk Staphylococcus aureus",yes,"Gram-positieve coc, mogelijk Staphylococcus aureus",Procedure,Antibiogram,No,no,1,no,no,no,,,,
,.Bacilsan?,NULL,NULL,NULL,,,,,.bacilsan?,"Gram-positieve staaf, mogelijk Bacillus anthracis",Germ,"Gram-positieve staaf, mogelijk Bacillus anthracis",yes,"Gram-positieve staaf, mogelijk Bacillus anthracis",Procedure,Antibiogram,No,no,1,no,no,no,,,,
,Bacterie_q,NULL,NULL,NULL,,,,,bacterie_q,Anaerobe bacterie,Germ,Anaerobe bacterie,no,Anaerobe bacterie,Procedure,Antibiogram,Yes,no,1,no,no,no,,,,
,Bkcoagpos,NULL,NULL,NULL,,,,,bkcoagpos,"Coagulase positieve staphylococ, mogelijk S. aureus",Germ,"Coagulase positieve staphylococ, mogelijk S. aureus",yes,Coagulase positieve staphylococ,Procedure,Antibiogram,Yes,no,1,no,no,no,,,,
,Bkgist,NULL,NULL,NULL,,,,,bkgist,Gist determinatie volgt,Germ,"Gist, determinatie volgt",yes,Gist determinatie volgt,Procedure,Antibiogram,Yes,no,1,no,no,no,,,,
,Bkgnc,NULL,NULL,NULL,,,,,bkgnc,"Gram-negatieve coc, determinatie volgt",Germ,"Gram-negatieve coc, determinatie volgt",yes,"Gram-negatieve coc, determinatie volgt",Procedure,Antibiogram,Yes,no,1,no,no,no,,,,
,Bkgns,NULL,NULL,NULL,,,,,bkgns,"Gram negatieve staaf, determinatie volgt",Germ,"Gram-negatieve staaf, determinatie volgt",yes,"Gram negatieve staaf, determinatie volgt",Procedure,Antibiogram,Yes,no,1,no,no,no,,,,
,Bkgps,NULL,NULL,NULL,,,,,bkgps,"Gram-positieve staaf, determinatie volgt",Germ,"Gram-positieve staaf, determinatie volgt",yes,"Gram-positieve staaf, determinatie volgt",Procedure,Antibiogram,Yes,no,1,no,no,no,,,,
,Bkstaph,NULL,NULL,NULL,,,,,bkstaph,"Gram-positieve coc, mogelijk Staphylococcus species",Germ,"Gram-positieve coc, mogelijk Staphylococcus species",yes,"Gram-positieve coc, mogelijk Staphylococcus species",Procedure,Antibiogram,Yes,no,1,no,no,no,,,,
,Bkstrep,NULL,NULL,NULL,,,,,bkstrep,"Gram-positieve coc, mogelijk Streptococcus species",Germ,"Gram-positieve coc, mogelijk Streptococcus species",yes,"Gram-positieve coc, mogelijk Streptococcus species",Procedure,Antibiogram,Yes,no,1,no,no,no,,,,
,.Bordeasp?,NULL,NULL,NULL,,,,,.bordeasp?,"Gram-negatieve staaf, mogelijk Bordetella species",Germ,"Gram-negatieve staaf, mogelijk Bordetella species",yes,"Gram-negatieve staaf, mogelijk Bordetella species",Procedure,Antibiogram,No,no,1,no,no,no,,,,
,.Bruceasp?,NULL,NULL,NULL,,,,,.bruceasp?,"Gram-negatieve staaf, mogelijk Brucella species",Germ,"Gram-negatieve staaf, mogelijk Brucella species",yes,"Gram-negatieve staaf, mogelijk Brucella species",Procedure,Antibiogram,No,no,1,no,no,no,,,,
,.Burkhasp?,NULL,NULL,NULL,,,,,.burkhasp?,"Gram-negatieve staaf, mogelijk Burkholderia species",Germ,"Gram-negatieve staaf, mogelijk Burkholderia species",yes,"Gram-negatieve staaf, mogelijk Burkholderia species",Procedure,Antibiogram,No,no,1,no,no,no,,,,
